"L126","84F07","20G01","GMR_20G01_AV_01-20150522_44_A5","120","1","Yes","","Yes_TI_wk30","Medium"
"L1295","25B07","52H12","GMR_52H12_AV_01-20150515_41_D2","3B","1","Yes","Yes_TI_wk8","Yes-TI_wk6","None"
"L1667","59C09","85A07","GMR_85A07_AV_01-20150522_44_A3","70A","1","Yes","Yes_TI_wk10","Yes-TI_wk1","Medium"
"L1735","76C08","86A05","GMR_86A05_AV_01-20150522_44_A4","4A","1","Yes","Yes_TI-wk24","Case4_Wk1","None"
"L1129","14B11","44G08","GMR_44G08_AV_01-20150515_41_E6","7A","1","Yes","Yes_TI-wk21","Yes_TI_wk23","None"
"L1284","38F08","52H12","GMR_52H12_AV_01-20150522_44_B3","8A","1","Yes","Yes_TI_wk10","Yes-TI_wk1","Medium"
"L1385","76C08","54G12","GMR_54G12_AV_01-20150522_44_B2","1D","2","Yes","Yes_TI-wk24","Yes-TI_wk13","Medium"
"","","","","(1H)","","","","",""
"L1293","16C09","52H12","GMR_52H12_AV_01-20150515_41_D4","12A","1","Yes","Yes_TI-wk24","Yes-TI_flycore_18Apr-30May16","None"
"L489","50H07","66A08","JRC_SS03792-20150227_41_C2","144","1","Yes","Yes_TI_wk16","Case4_Wk2","Medium"
"L727","76C08","18B11","JRC_SS03794-20150227_41_D5","17C","1","Yes","Yes_TI_wk8","","Strong"
"L509","13C04","79C09","JRC_SS03783-20150227_41_F2","114A","1","Yes","","Yes-TI_wk6","Medium"
"L1117","48E02","41H09","GMR_41H09_AV_01-20150313_46_C2","7A","2","Yes","Yes_TI_wk16","","Don't Care"
"","","","","27A","","","","",""
"L1473","42D01","65C07","GMR_65C07_AV_01-20150313_46_D6","4A","1","Yes","Yes_TI_wk4","Yes-TI_flycore_18Apr-30May16","Don't Care"
"L979","84F07","37A11","GMR_37A11_AV_01-20150306_41_B4","29D","1","Yes","Yes_TI-wk27","Yes-TI_wk1","Medium"
"L807","25B07","25B10","GMR_25B10_AV_01-20150306_41_C5","12C","1","Yes","Yes_TI_wk4","Yes-TI_wk6","None"
"","","","","","","","","",""
"L1397","11E08","58F03","GMR_58F03_AV_01-20150306_41_D4","29G","1","Yes","Yes_TI_wk4","Yes_TI_wk21","Medium"
"L808","84A06","25B10","GMR_25B10_AV_01-20150306_41_A6","12C","1","Yes","Yes_TI_wk4","Yes_TI_wk30","None"
